name,quantity_type,catalog_name,catalog_symbol,rp66_symbol,base_unit,a,b,c,d
kilopascal per hundred meter,force per volume,POSC,kPa/100m,kPa/hm,Pa/m,0,10,1,0
kilopascals/metre,force per volume,POSC,kPa/m,kPa/m,Pa/m,0,1000,1,0
megapascal per meter,force per volume,POSC,MPa/m,MPa/m,Pa/m,0,1.00E+06,1,0
pascals/metre,force per volume,POSC,Pa/m,Pa/m,Pa/m,0,1,1,0
pound per square inch per meter,force per volume,POSC,psi/m,psi/m,Pa/m,0,6894.76,1,0
pounds/square inch per 100 feet,force per volume,POSC,psi/100ft,,Pa/m,0,6894.76,30.48,0
pounds/square inch per 100 feet,force per volume,POSC,psi/ft(100),,Pa/m,0,6894.76,30.48,0
pounds/square inch per foot,force per volume,POSC,psi/ft,psi/ft,Pa/m,0,6894.76,0.3048,0
pounds/square inch per thousand feet,force per volume,POSC,psi/kft,,Pa/m,0,6894.76,304.8,0
pascals/cubic metre,Darcy flow coefficient,POSC,Pa/m3,Pa/m3,Pa/m3,0,1,1,0
psi squared days/ centipoise cubic foot,Darcy flow coefficient,POSC,psi2.d/cP.ft3,psi2.d/cP.ft3,Pa/m3,0,4.11E+12,2.83E-05,0
psi squared days/ centipoise cubic foot,Darcy flow coefficient,POSC,psi2.d/cp.ft3,psi2.d/cP.ft3,Pa/m3,0,4.11E+12,2.83E-05,0
atmosphere per hour,pressure per time,POSC,atm/h,atm/h,Pa/s,0,101325,3600,0
bar per hour,pressure per time,POSC,bar/h,bar/h,Pa/s,0,100000,3600,0
bar squared per centipoise,pressure squared per (dynamic viscosity),POSC,bar2/cP,bar2/cP,Pa/s,0,1.00E+13,1,0
kilopascal per hour,pressure per time,POSC,kPa/h,kPa/h,Pa/s,0,1000,3600,0
kilopascal per min,pressure per time,POSC,kPa/min,kPa/min,Pa/s,0,1000,60,0
kilopascal squared per centipoise,pressure squared per (dynamic viscosity),POSC,kPa2/cP,kPa2/cP,Pa/s,0,1.00E+09,1,0
kilopascal squared per thousand centipoise,pressure squared per (dynamic viscosity),POSC,kPa2/kcP,,Pa/s,0,1.00E+06,1,0
megapascal per hour,pressure per time,POSC,MPa/h,MPa/h,Pa/s,0,1.00E+06,3600,0
pascal per hour,pressure per time,POSC,Pa/h,Pa/h,Pa/s,0,1,3600,0
pascal/ second,pressure per time,POSC,Pa/s,Pa/s,Pa/s,0,1,1,0
pound per square inch per hour,pressure per time,POSC,psi/h,psi/h,Pa/s,0,6894.76,3600,0
pound per square inch per minute,pressure per time,POSC,psi/min,psi/min,Pa/s,0,6894.76,60,0
pounds/square inch squared/ centipoise,pressure squared per (dynamic viscosity),POSC,psi2/cP,psi2/cP,Pa/s,0,4.75E+09,1,0
bar squared,pressure squared,POSC,bar2,bar2,Pa2,0,1.00E+10,1,0
gigapascal squared,pressure squared,POSC,GPa2,GPa2,Pa2,0,1.00E+18,1,0
kilopascal squared,pressure squared,POSC,kPa2,kPa2,Pa2,0,1.00E+06,1,0
pascal squared,pressure squared,POSC,Pa2,Pa2,Pa2,0,1,1,0
pound per square inch squared,pressure squared,POSC,psi2,psi2,Pa2,0,4.75E+07,1,0
"thousand pound per square inch, squared",pressure squared,POSC,kpsi2,,Pa2,0,4.75E+13,1,0
pH,pH,POSC,pH,,pH,0,1,1,0
centesimal minute,plane angle,POSC,cgr,,rad,0,3.14159,20000,0
centesimal second,plane angle,POSC,ccgr,,rad,0,3.14159,2.00E+06,0
cycle,plane angle,POSC,c,c,rad,0,6.28319,1,0
degree of an angle,plane angle,POSC,dega,dega,rad,0,0.0174533,1,0
gigaradian,plane angle,POSC,Grad,Grad,rad,0,1.00E+09,1,0
gons,plane angle,POSC,gon,,rad,0,0.015708,1,0
grad,plane angle,POSC,gr,,rad,0,0.015708,1,0
kiloradian,plane angle,POSC,krad,,rad,0,1000,1,0
megaradian,plane angle,POSC,Mrad,Mrad,rad,0,1.00E+06,1,0
microradian,plane angle,POSC,urad,urad,rad,0,1.00E-06,1,0
mil_6400,plane angle,POSC,mila,,rad,0,3.14159,3200,0
milliradian,plane angle,POSC,mrad,mrad,rad,0,0.001,1,0
milliseconds angular,plane angle,POSC,mseca,,rad,0,4.85E-09,1,0
minutes angular,plane angle,POSC,mina,mina,rad,0,0.000290888,1,0
radian,plane angle,POSC,rad,rad,rad,0,1,1,0
seconds angular,plane angle,POSC,seca,seca,rad,0,4.85E-06,1,0
degrees of an angle per thirty feet,angle per length,POSC,dega/30ft,,rad/m,0,0.0174533,9.144,0
degrees of an angle/100 feet,angle per length,POSC,dega/100ft,,rad/m,0,0.0174533,30.48,0
degrees of an angle/100 feet,angle per length,POSC,dega/ft(100),,rad/m,0,0.0174533,30.48,0
degrees of an angle/30 metres,angle per length,POSC,dega/30m,,rad/m,0,0.0174533,30,0
degrees of an angle/30 metres,angle per length,POSC,dega/m(30),,rad/m,0,0.0174533,30,0
degrees of an angle/foot,angle per length,POSC,dega/ft,dega/ft,rad/m,0,0.0174533,0.3048,0
degrees of an angle/metre,angle per length,POSC,dega/m,dega/m,rad/m,0,0.0174533,1,0
radians per foot,angle per length,POSC,rad/ft,rad/ft,rad/m,0,1,0.3048,0
radians/metre,angle per length,POSC,rad/m,rad/m,rad/m,0,1,1,0
radians per cubic foot,angle per volume,POSC,rad/ft3,rad/ft3,rad/m3,0,1,0.0283168,0
radians per cubic metre,angle per volume,POSC,rad/m3,rad/m3,rad/m3,0,1,1,0
cycles/second,angular velocity,POSC,c/s,c/s,rad/s,0,6.28319,1,0
degrees of an angle per hour,rotational frequency,POSC,dega/h,dega/h,rad/s,0,0.0174533,3600,0
degrees of an angle per second,rotational frequency,POSC,dega/s,dega/s,rad/s,0,0.0174533,1,0
degrees of an angle/minute,rotational frequency,POSC,dega/min,dega/min,rad/s,0,0.0174533,60,0
gigahertz,frequency,POSC,GHz,GHz,rad/s,0,6.28E+09,1,0
kilohertz,frequency,POSC,kHz,kHz,rad/s,0,6283.19,1,0
megahertz,frequency,POSC,MHz,MHz,rad/s,0,6.28E+06,1,0
microhertz,frequency,POSC,uHz,uHz,rad/s,0,6.28E-06,1,0
millihertz,frequency,POSC,mHz,mHz,rad/s,0,0.00628319,1,0
radians/second,angular velocity,POSC,rad/s,rad/s,rad/s,0,1,1,0
revolutions/minute,angle per time,POSC,rev/min,,rad/s,0,6.28319,60,0
revolutions/minute,angle per time,POSC,rpm,,rad/s,0,6.28319,60,0
revolutions/second,angle per time,POSC,rev/s,c/s,rad/s,0,6.28319,1,0
radians/second squared,angular acceleration,POSC,rad/s2,rad/s2,rad/s2,0,1,1,0
revolutions/minute per second,angular acceleration,POSC,rpm/s,,rad/s2,0,6.28319,60,0
100000 years,time,POSC,100ka,,s,0,3.16E+12,1,0
100000 years,time,POSC,yr(100k),,s,0,3.16E+12,1,0
annum,time,POSC,a,a,s,0,3.16E+07,1,0
day,time,POSC,d,d,s,0,86400,1,0
gigasiemens,electric conductance,POSC,GS,GS,S,0,1.00E+09,1,0
gigayears,time,POSC,Ga,,s,0,3.16E+16,1,0
half a millisecond,time,POSC,ms/2,,s,0,0.0005,1,0
hour,time,POSC,h,h,s,0,3600,1,0
hundred seconds,time,POSC,hs,,s,0,100,1,0
kilosiemens,electric conductance,POSC,kS,kS,S,0,1000,1,0
megayears,time,POSC,Ma,Ma,s,0,3.16E+13,1,0
megayears,time,POSC,MY,MA,s,0,3.16E+13,1,0
mhos,electric conductance,POSC,mho,mho,S,0,1,1,0
microsecond,time,POSC,us,us,s,0,1.00E-06,1,0
microsiemens,electric conductance,POSC,uS,uS,S,0,1.00E-06,1,0
milliseconds,time,POSC,ms,ms,s,0,0.001,1,0
millisiemen,electric conductance,POSC,mS,mS,S,0,0.001,1,0
minutes,time,POSC,min,min,s,0,60,1,0
nanoseconds,time,POSC,ns,ns,s,0,1.00E-09,1,0
picosecond,time,POSC,ps,ps,s,0,1.00E-12,1,0
picosiemens,electric conductance,POSC,pS,pS,S,0,1.00E-09,1,0
second,time,POSC,s,s,s,0,1,1,0
siemens,electric conductance,POSC,S,S,S,0,1,1,0
ten milli second,time,POSC,cs,,s,0,0.01,1,0
weeks,time,POSC,wk,,s,0,604800,1,0
hour per kilometer,time per length,POSC,h/km,h/km,s/m,0,3.6,1,0
hour per thousand foot,time per length,POSC,h/kft,,s/m,0,3600,304.8,0
mhos/metre,conductivity,POSC,mho/m,mho/m,S/m,0,1,1,0
microseconds/foot,time per length,POSC,us/ft,us/ft,s/m,0,1.00E-06,0.3048,0
microseconds/metre,time per length,POSC,us/m,us/m,s/m,0,1.00E-06,1,0
millimhos/metre,conductivity,POSC,mmho/m,mmho/m,S/m,0,0.001,1,0
millisecond per foot,time per length,POSC,ms/ft,ms/ft,s/m,0,0.001,0.3048,0
millisecond per meter,time per length,POSC,ms/m,ms/m,s/m,0,0.001,1,0
milliseconds/centimetre,time per length,POSC,ms/cm,ms/cm,s/m,0,0.1,1,0
milliseconds/inch,time per length,POSC,ms/in,ms/in,s/m,0,0.001,0.0254,0
millisiemens/metre,conductivity,POSC,mS/m,mS/m,S/m,0,0.001,1,0
minute per foot,time per length,POSC,min/ft,min/ft,s/m,0,60,0.3048,0
minute per meter,time per length,POSC,min/m,min/m,s/m,0,60,1,0
nanoseconds/foot,time per length,POSC,ns/ft,ns/ft,s/m,0,1.00E-09,0.3048,0
nanoseconds/metre,time per length,POSC,ns/m,ns/m,s/m,0,1.00E-09,1,0
seconds/centimetre,time per length,POSC,s/cm,s/cm,s/m,0,100,1,0
seconds/foot,time per length,POSC,s/ft,s/ft,s/m,0,1,0.3048,0
seconds/inch,time per length,POSC,s/in,s/in,s/m,0,1,0.0254,0
seconds/metre,time per length,POSC,s/m,s/m,s/m,0,1,1,0
siemens/metre,conductivity,POSC,S/m,S/m,S/m,0,1,1,0
day per barrel,time per volume,POSC,d/bbl,d/bbl,s/m3,0,86400,0.158987,0
day per thousand cubic feet,time per volume,POSC,d/k(ft3),,s/m3,0,86400,28.3168,0
days/cubic foot,time per volume,POSC,d/ft3,d/ft3,s/m3,0,86400,0.0283168,0
days/cubic metre,time per volume,POSC,d/m3,d/m3,s/m3,0,86400,1,0
hour per cubic meter,time per volume,POSC,h/m3,h/m3,s/m3,0,3600,1,0
hours/cubic foot,time per volume,POSC,h/ft3,h/ft3,s/m3,0,3600,0.0283168,0
second per cubic foot,time per volume,POSC,s/ft3,s/ft3,s/m3,0,1,0.0283168,0
second per litre,time per volume,POSC,s/L,s/L,s/m3,0,1,0.001,0
second per UK quart,time per volume,POSC,s/qtUK,,s/m3,0,1,0.00113652,0
second per US quart,time per volume,POSC,s/qtUS,,s/m3,0,1,0.000946353,0
seconds/cubic metre,time per volume,POSC,s/m3,s/m3,s/m3,0,1,1,0
cubic feet at standard conditions,standard volume,POSC,"ft3(std,60F)",,scm(15C),0,0.0011953,1,0
giga standard cubic metres 15C,standard volume,POSC,Gsm3,,scm(15C),0,1.00E+09,1,0
kilo standard cubic metres 15C,standard volume,POSC,ksm3,,scm(15C),0,1000,1,0
mega standard cubic metres 15C,standard volume,POSC,Msm3,,scm(15C),0,1.00E+06,1,0
million standard cubic feet at 60 deg F,standard volume,POSC,MMscf(60F),,scm(15C),0,28262.4,1,0
million standard cubic metres 15C,standard volume,POSC,MMscm(15C),,scm(15C),0,1.00E+06,1,0
million stock tank barrels 60 deg F,standard volume,POSC,MMstb(60F),,scm(15C),0,158987,1,0
std cubic feet at 60 deg F,standard volume,POSC,scf(60F),scf(60F),scm(15C),0,0.0282624,1,0
stock tank barrel at 60 deg F,standard volume,POSC,stb(60F),,scm(15C),0,0.158987,1,0
thousand cubic feet at 60 deg F,standard volume,POSC,Mscf(60F),,scm(15C),0,28.2624,1,0
thousand stock tank barrels 60 F,standard volume,POSC,Mstb(60F),,scm(15C),0,158.987,1,0
million stock tank barrels 60 deg F/acre,standard volume per area,POSC,MMstb/acre,,scm(15C)/m2,0,158987,4046.87,0
std cubic feet at 60 deg F/square foot,standard volume per area,POSC,scf(60F)/ft2,,scm(15C)/m2,0,0.0282624,0.092903,0
"stock tank barrels, 60 deg F/acre",standard volume per area,POSC,stb(60F)/acre,,scm(15C)/m2,0,0.158987,4046.87,0
"million stbs, 60 deg F/acre foot",standard volume per volume,POSC,MMstb/acre.ft,,scm(15C)/m3,0,158987,1233.49,0
std cubic feet at 60 deg F/barrel,standard volume per volume,POSC,scf(60F)/bbl,,scm(15C)/m3,0,0.0282624,0.158987,0
std cubic feet at 60 deg Ft/cubic foot,standard volume per volume,POSC,scf(60F)/ft3,,scm(15C)/m3,0,0.998076,1,0
"stock tank barrels, 60 deg F/barrel",standard volume per volume,POSC,stb(60F)/bbl,,scm(15C)/m3,0,1,1,0
million standard cubic feet/day,standard volume per time,POSC,MMscf(60F)/d,,scm(15C)/s,0,28262.4,86400,0
"million std cubic metres, 15 degC/day",standard volume per time,POSC,MMscm(15C)/d,,scm(15C)/s,0,1.00E+06,86400,0
"million stock tank barrels, 60 deg F/day",standard volume per time,POSC,MMstb(60F)/d,,scm(15C)/s,0,158987,86400,0
standard cubic feet/day,standard volume per time,POSC,scf(60F)/d,,scm(15C)/s,0,0.0282624,86400,0
std cubic metres at 15 deg C/day,standard volume per time,POSC,scm(15C)/d,,scm(15C)/s,0,1,86400,0
"stock tank barrels, 60 deg F/day",standard volume per time,POSC,stb(60F)/d,,scm(15C)/s,0,0.158987,86400,0
thousand standard cubic feet/day,standard volume per time,POSC,Mscf(60F)/d,,scm(15C)/s,0,28.2624,86400,0
"thousand std cubic metres, 15 degC/day",standard volume per time,POSC,Mscm(15C)/d,,scm(15C)/s,0,1000,86400,0
thousand std cubic metres/ day,standard volume per time,POSC,ksm3/d,,scm(15C)/s,0,1000,86400,0
"thousand stock tank barrels,60 deg F/day",standard volume per time,POSC,Mstb(60F)/d,,scm(15C)/s,0,158.987,86400,0
steradian,solid angle,POSC,sr,sr,sr,0,1,1,0
milli-rem,dose equivalent,POSC,mrem,,Sv,0,1.00E-05,1,0
millisievert,dose equivalent,POSC,mSv,mSv,Sv,0,0.001,1,0
rem,dose equivalent,POSC,rem,,Sv,0,0.01,1,0
sievert,dose equivalent,POSC,Sv,Sv,Sv,0,1,1,0
milli-rems per hour,dose equivalent rate,POSC,mrem/h,,Sv/s,0,1.00E-05,3600,0
millisieverts per hour,dose equivalent rate,POSC,mSv/h,,Sv/s,0,0.001,3600,0
rems per hour,dose equivalent rate,POSC,rem/h,,Sv/s,0,0.01,3600,0
sievert per second,dose equivalent rate,POSC,Sv/s,,Sv/s,0,1,1,0
sieverts per hour,dose equivalent rate,POSC,Sv/h,,Sv/s,0,1,3600,0
gauss,magnetic induction,POSC,gauss,,T,0,0.0001,1,0
microteslas,magnetic induction,POSC,uT,uT,T,0,1.00E-06,1,0
milligauss,magnetic induction,POSC,mgauss,,T,0,1.00E-07,1,0
milliteslas,magnetic induction,POSC,mT,mT,T,0,0.001,1,0
nanoteslas,magnetic induction,POSC,nT,nT,T,0,1.00E-09,1,0
tesla,magnetic induction,POSC,T,T,T,0,1,1,0
kilovolt,electric potential,POSC,kV,kV,V,0,1000,1,0
megavolt,electric potential,POSC,MV,MV,V,0,1.00E+06,1,0
microvolts,electric potential,POSC,uV,uV,V,0,1.00E-06,1,0
millivolts,electric potential,POSC,mV,mV,V,0,0.001,1,0
volt,electric potential,POSC,V,V,V,0,1,1,0
volts/Bel,potential difference per per power drop,POSC,V/B,V/B,V/B,0,1,1,0
volts/decibel,potential difference per per power drop,POSC,V/dB,V/dB,V/B,0,10,1,0
microvolt per foot,electric field strength,POSC,uV/ft,uV/ft,V/m,0,1.00E-06,0.3048,0
microvolt per meter,electric field strength,POSC,uV/m,uV/m,V/m,0,1.00E-06,1,0
millivolt per foot,electric field strength,POSC,mV/ft,mV/ft,V/m,0,0.001,0.3048,0
millivolt per meter,electric field strength,POSC,mV/m,mV/m,V/m,0,0.001,1,0
volts/metre,electric field strength,POSC,V/m,V/m,V/m,0,1,1,0
British thermal unit/hour,heat flow rate,POSC,Btu/hr,Btu/h,W,0,0.293071,1,0
British thermal units/minute,heat flow rate,POSC,Btu/min,Btu/min,W,0,17.5843,1,0
British thermal units/second,heat flow rate,POSC,Btu/s,Btu/s,W,0,1055.06,1,0
ch,power,POSC,ch,,W,0,735.499,1,0
cheval vapeur,power,POSC,CV,,W,0,735.499,1,0
electric horsepower,power,POSC,ehp,ehp,W,0,746,1,0
ergs/year,heat flow rate,POSC,erg/a,,W,0,1.00E-07,3.16E+07,0
exajoules/year,heat flow rate,POSC,EJ/a,EJ/a,W,0,3.17E+10,1,0
foot pounds force/minute,heat flow rate,POSC,ft.lbf/min,ft.lbf/min,W,0,0.022597,1,0
foot pounds force/second,heat flow rate,POSC,ft.lbf/s,ft.lbf/s,W,0,1.35582,1,0
gigawatt,power,POSC,GW,GW,W,0,1.00E+09,1,0
horsepower,power,POSC,hp,hp,W,0,745.7,1,0
hydraulic horsepower,power,POSC,hhp,hhp,W,0,746.043,1,0
kilocalories/hour,power,POSC,kcal/h,kcal/h,W,0,1.16222,1,0
kilowatts,power,POSC,kW,kW,W,0,1000,1,0
megajoules/year,power,POSC,MJ/a,MJ/a,W,0,1.00E+06,3.16E+07,0
megawatts,power,POSC,MW,MW,W,0,1.00E+06,1,0
microwatts,power,POSC,uW,uW,W,0,1.00E-06,1,0
million Btus/hour,heat flow rate,POSC,Btu(million)/hr,,W,0,293071,1,0
million Btus/hour,heat flow rate,POSC,MBtu/hr,,W,0,293071,1,0
milliwatt,power,POSC,mW,mW,W,0,0.001,1,0
nanowatts,power,POSC,nW,nW,W,0,1.00E-09,1,0
quads/year,heat flow rate,POSC,quad/yr,,W,0,1.06E+18,3.16E+07,0
terajoules/year,heat flow rate,POSC,TJ/a,TJ/a,W,0,1.00E+12,3.16E+07,0
terawatts,power,POSC,TW,TW,W,0,1.00E+12,1,0
tons of refrigeration,power,POSC,ton of refrig,,W,0,3516.85,1,0
watt,power,POSC,W,W,W,0,1,1,0
Watts per delta kelvin,thermal conductance,POSC,W/K,W/K,W/K,0,1,1,0
British thermal units/hour foot deg F,thermal conductivity,POSC,Btu/hr.ft.degF,Btu/h.ft.degF,W/m.K,0,1.73073,1,0
Btus/hour foot squared deg F per inch,energy length per time area temperature,POSC,Btu.in/hr.ft2.F,Btu.in/h.ft2.degF,W/m.K,0,0.144228,1,0
calories/hour centimetre degree Celsius,thermal conductivity,POSC,cal/h.cm.degC,cal/h.cm.degC,W/m.K,0,0.116222,1,0
calories/second centimetre deg C,thermal conductivity,POSC,cal/s.cm.degC,cal/s.cm.degC,W/m.K,0,418.4,1,0
kilocalories/hour metre degree Celsius,thermal conductivity,POSC,kcal/h.m.degC,kcal/h.m.degC,W/m.K,0,1.16222,1,0
kilojoule metres/hour sq metre deg K,energy length per time area temperature,POSC,kJ.m/h.m2.K,kJ.m/h.m2.K,W/m.K,0,1,3.6,0
watts/metre kelvin,energy length per time area temperature,POSC,W/m.K,W/m.K,W/m.K,0,1,1,0
(hydraulic) horsepower per square inch,density of heat flow rate,POSC,hhp/in2,hhp/in2,W/m2,0,746.043,0.00064516,0
British thermal units/second square foot,density of heat flow rate,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.5,1,0
Btus/hour per square foot,density of heat flow rate,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.15459,1,0
calories/hour centimetre squared,density of heat flow rate,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,11.6222,1,0
horsepower per square inch,density of heat flow rate,POSC,hp/in2,hp/in2,W/m2,0,745.7,0.00064516,0
kilowatts/square centimetre,density of heat flow rate,POSC,kW/cm2,kW/cm2,W/m2,0,1.00E+07,1,0
kilowatts/square metre,density of heat flow rate,POSC,kW/m2,kW/m2,W/m2,0,1000,1,0
microcalories/second square centimetre,density of heat flow rate,POSC,ucal/s.cm2,,W/m2,0,0.04184,1,0
milliwatts/square metres,density of heat flow rate,POSC,mW/m2,mW/m2,W/m2,0,0.001,1,0
watts per square millimeter,density of heat flow rate,POSC,W/mm2,W/mm2,W/m2,0,1.00E+06,1,0
watts/square centimetre,density of heat flow rate,POSC,W/cm2,W/cm2,W/m2,0,10000,1,0
watts/square metre,density of heat flow rate,POSC,W/m2,W/m2,W/m2,0,1,1,0
Btus/hour foot squared deg F,heat transfer coefficient,POSC,Btu/hr.ft2.degF,Btu/h.ft2.degF,W/m2.K,0,5.67826,1,0
Btus/hour foot squared deg R,heat transfer coefficient,POSC,Btu/hr.ft2.degR,Btu/hr.ft2.degR,W/m2.K,0,5.67826,1,0
Btus/hour metre squared deg C,heat transfer coefficient,POSC,Btu/hr.m2.degC,Btu/h.m2.degC,W/m2.K,0,0.293071,1,0
Btus/second per square foot deg F,heat transfer coefficient,POSC,Btu/s.ft2.degF,Btu/s.ft2.degF,W/m2.K,0,20441.8,1,0
calories/hour square centimetre deg C,heat transfer coefficient,POSC,cal/h.cm2.degC,cal/h.cm2.degC,W/m2.K,0,11.6222,1,0
calories/second square centimetre deg C,heat transfer coefficient,POSC,cal/s.cm2.degC,cal/s.cm2.degC,W/m2.K,0,41840,1,0
joules/second square metre deg C,heat transfer coefficient,POSC,J/s.m2.degC,J/s.m2.degC,W/m2.K,0,1,1,0
kilocalorie/hour square metre deg C,heat transfer coefficient,POSC,kcal/h.m2.degC,kcal/h.m2.degC,W/m2.K,0,1.16222,1,0
kilojoules/hour square metre deg K,heat transfer coefficient,POSC,kJ/h.m2.K,kJ/h.m2.K,W/m2.K,0,1000,3600,0
kilowatts/square metre degree Kelvin,heat transfer coefficient,POSC,kW/m2.K,kW/m2.K,W/m2.K,0,1000,1,0
watts/square metre kelvin,heat transfer coefficient,POSC,W/m2.K,W/m2.K,W/m2.K,0,1,1,0
watts/square metre steradian,radiance,POSC,W/m2.sr,W/m2.sr,W/m2.sr,0,1,1,0
British thermal units/hour cubic foot,power per volume,POSC,Btu/hr.ft3,Btu/h.ft3,W/m3,0,10.3497,1,0
Btus/second per cubic foot,power per volume,POSC,Btu/s.ft3,Btu/s.ft3,W/m3,0,37258.9,1,0
calories/hour cubic centimetre,power per volume,POSC,cal/h.cm3,cal/h.cm3,W/m3,0,1162.22,1,0
calories/second cubic centimetre,power per volume,POSC,cal/s.cm3,cal/s.cm3,W/m3,0,4.18E+06,1,0
horsepower/cubic foot,power per volume,POSC,hp/ft3,hp/ft3,W/m3,0,26334.1,1,0
kilowatts/cubic metre,power per volume,POSC,kW/m3,kW/m3,W/m3,0,1000,1,0
microwatts/cubic metre,power per volume,POSC,uW/m3,uW/m3,W/m3,0,1.00E-06,1,0
watts/cubic metre,power per volume,POSC,W/m3,W/m3,W/m3,0,1,1,0
Btus/hour foot cubed deg F,volumetric heat transfer coefficient,POSC,Btu/hr.ft3.degF,Btu/h.ft3.degF,W/m3.K,0,18.6295,1,0
Btus/second per cubic foot deg F,volumetric heat transfer coefficient,POSC,Btu/s.ft3.degF,Btu/s.ft3.degF,W/m3.K,0,67066.1,1,0
killowatts/cubic metre degree Kelvin,volumetric heat transfer coefficient,POSC,kW/m3.K,kW/m3.K,W/m3.K,0,1000,1,0
watts/cubic metre kelvin,volumetric heat transfer coefficient,POSC,W/m3.K,W/m3.K,W/m3.K,0,1,1,0
watts/steradian,radiant intensity,POSC,W/sr,W/sr,W/sr,0,1,1,0
microwebers,magnetic flux,POSC,uWb,uWb,Wb,0,1.00E-06,1,0
milliwebers,magnetic flux,POSC,mWb,mWb,Wb,0,0.001,1,0
weber,magnetic flux,POSC,Wb,Wb,Wb,0,1,1,0
weber metres,magnetic dipole moment,POSC,Wb.m,Wb.m,Wb.m,0,1,1,0
webers/metre,magnetic vector potential,POSC,Wb/m,Wb/m,Wb/m,0,1,1,0
webers/millimetre,magnetic vector potential,POSC,Wb/mm,Wb/mm,Wb/m,0,1000,1,0
(cubic metres/second) per pascal,productivity index,WITSML,m3/Pa/s,m3/Pa/s,m3/Pa/s,0,1,1,0
